1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
143	Apple Imagewriter			Apple	A9M0303P	Imagewriter I	653797	Depot	Printer	Museum	OK							UTCIV1				DND	9 augustus 2014	08-00-2B-17-25-4B	
144	Lear Siegler ADM 3A (3)			Lear Siegler	ADM 3A	Lear Siegler ADM 3A		Depot	Terminal	Museum	Werkt? Scherm vies														
145	Lear Siegler ADM 3A (2)			Lear Siegler	ADM 3A	Lear Siegler ADM 3A		Depot	Terminal	Museum								HROVX3			Stoneshop				
146	Lear Siegler ADM 3A (1)			Lear Siegler	ADM 3A	Lear Siegler ADM 3A		Depot	Terminal	Museum															
147	Lear Siegler ADM 1A			Lear Siegler	ADM-1A	Lear Siegler ADM 1A		Depot	Terminal	Museum	Werkt?							?							
148	Anita mk9			Sumlock	Anita mk9	Sumlock Anita	C/9/35463	Depot	Calculator	Museum	Ongerestaureerd		Discrete elektronica												
149	Acorn Archimedes 410			Acorn	Archimedes 410	Acorn Archimedes 410	27-AKB40-100?976	Depot	Workstation	Museum			ARM		RiscOS										
150	Teletype ASR43			Teletype Corporation	ASR43	ASR43		Depot	Hardcopy terminal	Museum	Werkt? Out of paper (12" pinfeed)										Stoneshop, Denz	LU	13 juni 2013		
151	Digital BA23-A (1)			Digital	BA23-A	Digital BA23-A	AY70601315	Depot	Systeemkast	Museum											Stoneshop				
152	Digital BA23-A (2)			Digital	BA23-A	Digital BA23-A	GA00209	Depot	Systeemkast	Museum															
153	Acorn BBC B			Acorn	BBC B	Acorn BBC B	01-ANBOI-3008424	Depot	Homecomputer	Museum	Werkt		6502		BBC MOS			comprak							
154	Philips Computer Monitor80			Philips	BM7513/001	Philips Computer Monitor 80	08904109598	Depot	Monitor	Museum	OK							Depot							
155	RDI BriteLite			RDI	Britelite	RDI BriteLite		Depot	Laptop	Museum	Geen PSU		Sparc		Solaris or linux										
156			42001047	Burroughs	C 3262		C-000495-115	Depot	Calculator																
157	Commodore C128D (1)			Commodore	C128D	Commodore C128D	DA422337	Depot	Homecomputer	Museum	Defect?		6502												
158	HP Surestore DLT80			HP	C5726A	HP Surestore DLT80	US93005218	Depot	Storage	Hack42															
159	Commodore CBM 2001			Commodore	CBM 2001	Commodore CBM 2001		Depot	Desktop computer													DND	9 augustus 2014		
160	Commodore CBM 8050			Commodore	CBM 8050	Commodore CBM 8050	WG2257	Depot	Storage	Museum	Werkt?														
161	Commodore CBM 8250			Commodore	CBM 8250	Commodore CBM 8250	WG5367	Depot	Storage	Museum	Defect														
162	Philips CDD522/10		42001058	Philips	CDD522/10	Philips Compact Disc Recorder	AH009432010027	Depot	Storage	Museum	OK														
163			42001055	Chinon	CDS-430		E001935	Depot	CD-ROM/AUDIO Drive									holborn							
164	Sharp CE-125			Sharp	CE-125	Sharp CE-125		Depot	Handheld													Scryption			
165	SGI Challenge S (1)			SGI	Challenge S	SGI Challenge S		Depot	Workstation	Museum			MIPS								Denz, Bugblue, Macsimski	Scryption			
166	SGI Challenge S (2)			SGI	Challenge S	SGI Challenge S		Depot	Workstation	Museum			MIPS										16 augustus 2016		
